systime, gpstime, latitude, longitude, altitude, speed, heading, hpdop, vdop, pdop
1411812369.70878, 1411812367.00, 41.177975, -8.598393, 140.1, 0.067, 179.3900, 1.1, 1.5, 1.8
1411812370.74517, 1411812368.00, 41.177975, -8.598393, 140.2, 0.067, 176.0300, 1.1, 1.5, 1.8
1411812371.69811, 1411812369.00, 41.177975, -8.598392, 140.2, 0.067, 169.9000, 1.2, 2.1, 2.4
1411812373.73524, 1411812371.00, 41.177973, -8.598392, 140.2, 0.077, 177.8900, 1.2, 2.1, 2.4
1411812374.74139, 1411812372.00, 41.177973, -8.598392, 140.2, 0.072, 178.7800, 1.2, 2.1, 2.4
1411812375.70760, 1411812373.00, 41.177973, -8.598392, 140.2, 0.082, 183.5300, 1.2, 2.1, 2.4
1411812376.76247, 1411812374.00, 41.177973, -8.598392, 140.2, 0.072, 182.5700, 1.2, 2.1, 2.4
1411812378.72169, 1411812376.00, 41.177972, -8.598392, 140.2, 0.062, 165.8300, 1.1, 1.5, 1.8
1411812379.70596, 1411812377.00, 41.177972, -8.598392, 140.3, 0.077, 180.1200, 1.1, 1.5, 1.8
1411812380.77087, 1411812378.00, 41.177972, -8.598390, 140.4, 0.072, 168.8700, 1.1, 1.5, 1.8
1411812381.73308, 1411812379.00, 41.177972, -8.598390, 140.5, 0.067, 164.7200, 1.1, 1.5, 1.8
1411812383.71659, 1411812381.00, 41.177970, -8.598388, 140.5, 0.077, 178.0900, 1.1, 1.5, 1.8
1411812384.73000, 1411812382.00, 41.177972, -8.598388, 140.3, 0.067, 178.7200, 1.1, 1.5, 1.8
1411812385.72161, 1411812383.00, 41.177972, -8.598390, 140.1, 0.067, 185.4600, 1.1, 1.5, 1.8
1411812386.70997, 1411812384.00, 41.177973, -8.598390, 139.9, 0.067, 178.3600, 1.1, 1.5, 1.8
1411812388.66926, 1411812385.00, 41.177973, -8.598390, 139.6, 0.062, 179.0400, 1.2, 2.1, 2.4
1411812389.77580, 1411812387.00, 41.177975, -8.598390, 139.4, 0.062, 175.1800, 1.2, 2.1, 2.4
1411812390.69318, 1411812388.00, 41.177977, -8.598390, 139.2, 0.072, 181.6300, 1.2, 2.1, 2.4
1411812391.68634, 1411812389.00, 41.177977, -8.598390, 139.1, 0.067, 179.5200, 1.2, 2.1, 2.4
1411812393.71802, 1411812391.00, 41.177978, -8.598390, 138.9, 0.046, 185.9800, 1.1, 1.5, 1.8
1411812394.74245, 1411812392.00, 41.177978, -8.598390, 138.9, 0.046, 174.1100, 1.1, 1.5, 1.8
1411812395.72888, 1411812393.00, 41.177980, -8.598390, 138.9, 0.046, 180.1900, 1.1, 1.5, 1.8
1411812396.74808, 1411812394.00, 41.177980, -8.598390, 138.8, 0.041, 171.8100, 1.1, 1.5, 1.8
1411812398.75091, 1411812396.00, 41.177982, -8.598392, 138.6, 0.067, 176.3400, 1.1, 1.5, 1.8
1411812399.76756, 1411812397.00, 41.177982, -8.598392, 138.5, 0.067, 183.7900, 1.1, 1.5, 1.8
1411812400.74649, 1411812398.00, 41.177982, -8.598392, 138.4, 0.067, 175.5000, 1.1, 1.5, 1.8
