gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,long
1411812273.00,135.2,0.077,178.1000,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.62891,-0.15234,10.1914,-6.125,-39.375,-49.375,-8.598428
1411812274.00,135.2,0.072,176.5500,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.625,0.09375,10.0781,-6.25,-39.375,-49.25,-8.598428
1411812275.00,135.3,0.067,178.2000,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.59375,0.070313,9.9531,-6.375,-39.5,-49.125,-8.598428
1411812277.00,135.3,0.067,172.9400,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.60547,-0.042969,9.6719,-6.375,-39.5,-49.25,-8.598430
1411812278.00,135.2,0.062,172.5800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.60156,0.046875,9.8633,-6.25,-39.5,-49.25,-8.598430
1411812279.00,135.2,0.062,172.2900,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.58203,0.19531,10.0391,-6.0,-39.5,-49.125,-8.598430
1411812281.00,135.0,0.062,170.8200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.60547,-0.09375,10.0625,-5.875,-39.125,-49.125,-8.598428
1411812282.00,134.9,0.062,167.3800,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.56641,-0.035156,10.1563,-5.625,-39.25,-49.0,-8.598428
1411812283.00,134.9,0.062,166.2000,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.47656,0.039063,10.0547,-5.25,-39.375,-48.75,-8.598428
1411812284.00,134.8,0.057,166.6500,1.1,1.5,1.8,-0.021484,0.017578,0.0019531,-0.44141,-0.015625,10.0391,-5.125,-39.25,-48.5,-8.598428
1411812285.00,134.7,0.057,167.7900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.46484,-0.0039063,9.8047,-5.25,-39.125,-48.5,-8.598427
1411812286.00,134.6,0.067,184.1800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.47656,-0.0625,9.8242,-5.25,-39.125,-48.5,-8.598427
1411812287.00,134.5,0.062,179.1800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.57031,0.10156,9.8555,-5.25,-39.0,-48.625,-8.598427
1411812288.00,134.4,0.062,192.9900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.56641,0.070313,10.0625,-5.25,-38.875,-48.75,-8.598427
1411812289.00,134.3,0.062,189.5600,1.1,1.5,1.8,-0.017578,0.019531,0.0039063,-0.56641,-0.19922,10.1758,-5.375,-39.125,-48.75,-8.598427
1411812291.00,134.2,0.057,177.8300,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.57422,0.035156,10.1445,-5.5,-39.125,-48.75,-8.598427
